Vivado Simulator 2019.2
Time resolution is 1 ps
a = 00011101, b = 11101000, op = 100101, out = 11111101                 855
a = 10100111, b = 01101110, op = 100111, out = 00010000                 861
a = 00100100, b = 11100100, op = 100110, out = 11000000                 867
a = 10100011, b = 10000110, op = 100111, out = 01011000                 873
a = 00100000, b = 00001111, op = 100110, out = 00101111                 879
a = 10010011, b = 10000010, op = 100010, out = 00010001                 885
a = 00101110, b = 11111110, op = 100110, out = 11010000                 891
a = 10001111, b = 10100111, op = 100010, out = 11101000                 897
a = 00101010, b = 00001000, op = 100100, out = 00001000                 903
a = 10110100, b = 10100011, op = 000011, out = 11111111                 909
a = 00100111, b = 00000100, op = 100100, out = 00000100                 915
a = 10110000, b = 10010011, op = 000011, out = 11111111                 921
a = 00100011, b = 00101001, op = 100100, out = 00100001                 927
a = 10101100, b = 10001111, op = 100110, out = 00100011                 933
a = 01100101, b = 00100101, op = 100010, out = 01000000                 939
a = 10111000, b = 10011101, op = 100100, out = 10011000                 945
a = 01100001, b = 00010101, op = 111111, out = 00000000                 951
a = 11010100, b = 10100111, op = 000010, out = 00000000                 957
a = 01011101, b = 00101101, op = 111111, out = 00000000                 963
a = 11010000, b = 11010110, op = 100111, out = 00101001                 969
a = 01001100, b = 00111011, op = 100101, out = 01111111                 975
a = 11100011, b = 11000110, op = 100010, out = 00011101                 981
a = 01011010, b = 00110111, op = 100010, out = 00100011                 987
a = 11011111, b = 11010100, op = 100010, out = 00001011                 993
a = 01010110, b = 01000001, op = 100010, out = 00010101                 999
