Vivado Simulator 2019.2
Time resolution is 1 ps
a = 11100101, b = 11000010, op = 100000, out = 00011001                  68
a = 11011111, b = 11000110, op = 100010, out = 00011001                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 01100011                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 01110011                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 01100011                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 01110011                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 01010001                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 01110011                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 01110111                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 01110011                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 01110111                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 00110111                  68
Error en operacion 100010 en tiempo                   68 ns
a = 11011111, b = 11000110, op = 100010, out = 10110111                  68
Error en operacion 100010 en tiempo                   69 ns
a = 11011111, b = 11000110, op = 100010, out = 10100111                  69
Error en operacion 100010 en tiempo                   69 ns
a = 11011111, b = 11000110, op = 100010, out = 10101111                  69
Error en operacion 100010 en tiempo                   69 ns
a = 11011111, b = 11000110, op = 100010, out = 10100111                  69
Error en operacion 100010 en tiempo                   76 ns
a = 11011111, b = 11000110, op = 100010, out = 10100101                  76
Error en operacion 100010 en tiempo                   76 ns
a = 11011111, b = 11000110, op = 100010, out = 10100001                  76
Error en operacion 100010 en tiempo                   76 ns
a = 11011111, b = 11000110, op = 100010, out = 10110001                  76
Error en operacion 100010 en tiempo                   76 ns
a = 11011111, b = 11000110, op = 100010, out = 10010001                  76
Error en operacion 100010 en tiempo                   76 ns
a = 11011111, b = 11000110, op = 100010, out = 10011001                  76
Error en operacion 100010 en tiempo                   76 ns
a = 11011111, b = 11000110, op = 100010, out = 11011001                  76
a = 11011110, b = 11100101, op = 100110, out = 11011001                  76
Error en operacion 100110 en tiempo                   76 ns
a = 11011110, b = 11100101, op = 100110, out = 11001001                  76
Error en operacion 100110 en tiempo                   76 ns
a = 11011110, b = 11100101, op = 100110, out = 11011001                  76
Error en operacion 100110 en tiempo                   76 ns
a = 11011110, b = 11100101, op = 100110, out = 11111011                  76
Error en operacion 100110 en tiempo                   76 ns
a = 11011110, b = 11100101, op = 100110, out = 11011001                  76
Error en operacion 100110 en tiempo                   76 ns
